1,00632R,149748,    ,    ,    ,    
2,3481,106346,    ,    ,    ,    
3,00637L,82054,    ,    ,    ,    
4,5820,69219,    ,    ,    ,    
5,2618,57033,    ,    ,    ,    
6,2303,53747,    ,    ,    ,    
7,3035,52445,    ,    ,    ,    
8,3037,46972,    ,    ,    ,    
9,2609,46204,    ,    ,    ,    
10,2330,44692,    ,    ,    ,    
11,2409,43547,    ,    ,    ,    
12,2610,37933,    ,    ,    ,    
13,6104,37554,    ,    ,    ,    
14,6550,37196,    ,    ,    ,    
15,56,36165,    ,    ,    ,    
16,2603,30536,    ,    ,    ,    
17,4931,30060,    ,    ,    ,    
18,8069,29854,    ,    ,    ,    
19,878,29313,    ,    ,    ,    
20,5351,29014,    ,    ,    ,    
21,00673R,27932,    ,    ,    ,    
22,00671R,27876,    ,    ,    ,    
23,2891,25794,    ,    ,    ,    
24,2436,25693,    ,    ,    ,    
25,2882,25642,    ,    ,    ,    
26,2883,24646,    ,    ,    ,    
27,2834,23980,    ,    ,    ,    
28,2317,22278,    ,    ,    ,    
29,5009,22192,    ,    ,    ,    
30,1605,21285,    ,    ,    ,    
31,2002,20779,    ,    ,    ,    
32,2337,20109,    ,    ,    ,    
33,00665L,19527,    ,    ,    ,    
34,00669R,19114,    ,    ,    ,    
35,2498,18921,    ,    ,    ,    
36,6770,18786,    ,    ,    ,    
37,3443,18637,    ,    ,    ,    
38,2888,18297,    ,    ,    ,    
39,2009,18185,    ,    ,    ,    
40,8996,17695,    ,    ,    ,    
41,3711,17573,    ,    ,    ,    
42,2388,17428,    ,    ,    ,    
43,1101,16619,    ,    ,    ,    
44,2890,16516,    ,    ,    ,    
45,3189,15876,    ,    ,    ,    
46,00715L,15515,    ,    ,    ,    
47,2465,15329,    ,    ,    ,    
48,893,15299,    ,    ,    ,    
49,2884,15295,    ,    ,    ,    
50,2867,15009,    ,    ,    ,    
51,1802,14901,    ,    ,    ,    
52,3661,14894,    ,    ,    ,    
53,5425,14712,    ,    ,    ,    
54,8046,14457,    ,    ,    ,    
55,3454,14119,    ,    ,    ,    
56,00631L,13845,    ,    ,    ,    
57,2615,13835,    ,    ,    ,    
58,4162,13771,    ,    ,    ,    
59,3272,13364,    ,    ,    ,    
60,2201,13303,    ,    ,    ,    
61,2408,13240,    ,    ,    ,    
62,3105,13238,    ,    ,    ,    
63,2886,12831,    ,    ,    ,    
64,2368,12790,    ,    ,    ,    
65,885,12684,    ,    ,    ,    
66,4743,12475,    ,    ,    ,    
67,1760,12170,    ,    ,    ,    
68,50,12102,    ,    ,    ,    
69,3006,12011,    ,    ,    ,    
70,2885,11914,    ,    ,    ,    
71,2367,11731,    ,    ,    ,    
72,2887,11529,    ,    ,    ,    
73,3046,11382,    ,    ,    ,    
74,882,11343,    ,    ,    ,    
75,6533,11247,    ,    ,    ,    
76,3264,11178,    ,    ,    ,    
77,00753L,11131,    ,    ,    ,    
78,1702,10802,    ,    ,    ,    
79,9103,10591,    ,    ,    ,    
80,2312,10549,    ,    ,    ,    
81,2892,10411,    ,    ,    ,    
