6469,大樹,248 
1723,中碳,246 
6670,復盛應用,246 
1304,台聚,243 
3042,晶技,240 
9939,宏全,240 
3005,神基,239 
2887E,台新戊特,237 
00882,中信中國高股息,237 
2548,華固,237 
6213,聯茂,234 
6472,保瑞,234 
2707,晶華,233 
8150,南茂,232 
2204,中華,232 
3703,欣陸,232 
1232,大統益,231 
2539,櫻花建,228 
1215,卜蜂,226 
2103,台橡,224 
6005,群益證,224 
6547,高端疫苗,222 
6182,合晶,222 
2897,王道銀行,220 
8478,東哥遊艇,219 
2481,強茂,219 
1736,喬山,219 
6257,矽格,218 
00764B,群益25年美債,217 
2855,統一證,216 
2312,金寶,215 
3264,欣銓,215 
1536,和大,213 
8070,長華*,211 
6491,晶碩,211 
4770,上品,209 
5371,中光電,209 
9940,信義,209 
8016,矽創,207 
5534,長虹,206 
00637L,元大滬深300正2,206 
3016,嘉晶,203 
2211,長榮鋼,203 
3218,大學光,202 
00785B,富邦金融投等債,202 
5425,台半,201 
6414,樺漢,201 
3596,智易,201 
6146,耕興,199 
2540,愛山林,199 
2891B,中信金乙特,197 
6561,是方,197 
00779B,凱基美債25+,197 
4961,天鈺,197 
6196,帆宣,195 
2362,藍天,195 
6719,力智,194 
00849B,中信EM主權債0-5,193 
