6282,康舒,497 
6578,達邦蛋白,447 
2206,三陽工業,435 
6245,立端,433 
3535,晶彩科,421 
5251,天鉞電,414 
4168,醣聯,407 
4768,晶呈科技,401 
1609,大亞,397 
4739,康普,391 
3491,昇達科,374 
4721,美琪瑪,373 
2641,正德,359 
6257,矽格,354 
6756,威鋒電子,351 
1539,巨庭,351 
3027,盛達,316 
8183,精星,276 
6278,台表科,258 
3059,華晶科,258 
4927,泰鼎-KY,235 
6138,茂達,234 
6124,業強,227 
6789,采鈺,215 
2358,廷鑫,210 
6213,聯茂,208 
2342,茂矽,205 
3520,華盈,199 
4763,材料-KY,191 
4142,國光生,191 
4979,華星光,181 
6456,GIS-KY,181 
8155,博智,178 
6191,精成科,171 
5371,中光電,169 
6509,聚和,164 
8110,華東,139 
2613,中櫃,136 
6265,方土昶,124 
2030,彰源,117 
2369,菱生,115 
8215,明基材,113 
1612,宏泰,101 
5469,瀚宇博,95 
8105,凌巨,95 
5904,寶雅,91 
3205,佰研,87 
3050,鈺德,82 
6202,盛群,80 
6485,點序,77 
1810,和成,71 
6269,台郡,48 
1815,富喬,44 
8924,大田,44 
8450,霹靂,35 
4989,榮科,25 
6243,迅杰,17 
3434,哲固,14 
2477,美隆電,3 
6156,松上,2 
6558,興能高,0 
1423,利華,0 
